,2008,2008,2004,2004,2000,2000,2000,1996,1996,1996,1992,1992,1992,1988,1988,1984,1984,1980,1980,1980,1976,1976,1976,1972,1972,1968,1968,1968,1964,1964,1960,1960,1956,1956,1952,1952
,Obama,McCain,Kerry,Bush,Gore,Bush,Nader,Clinton,Dole,Perot,Clinton,Bush,Perot,Dukakis,Bush,Mondale,Reagan,Carter,Reagan,Anderson,Carter,Ford,McCarthy,McGovern,Nixon,Humphrey,Nixon,Wallace,Johnson,Goldwater,Kennedy,Nixon,Stevenson,Eisenhower,Stevenson,Eisenhower
Men,50,50,44,56,45,52,3,45,44,11,41,37,22,44,56,36,64,38,53,7,53,45,1,37,63,41,43,16,60,40,52,48,45,55,47,53
Women,57,43,52,48,53,45,2,54,39,7,46,38,16,48,52,45,55,44,50,6,48,51,-,38,62,45,43,12,62,38,49,51,39,61,42,58
White (incl. Hispanic),45,55,44,56,43,55,3,46,45,9,39,41,20,41,59,34,66,36,56,7,46,52,1,32,68,38,47,15,59,41,49,51,41,59,43,57
Nonwhite,90,10,83,17,87,9,4,82,12,6,77,11,12,82,18,87,13,86,10,2,85,15,-,87,13,85,12,3,94,6,68,32,61,39,79,21
Non-Hispanic white,44,56,43,57,42,56,2,44,44,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nonwhite (incl. Hispanic),86,14,78,22,80,17,3,80,14,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Black,99,1,93,7,95,3,2,96,2,2,88,9,2,88,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Under 30 years of age,61,39,60,40,47,47,6,54,30,16,40,37,23,37,63,40,60,47,41,11,53,45,1,48,52,47,38,15,64,36,54,46,43,57,51,49
30 to 49 years,53,47,43,57,45,53,2,49,41,10,42,37,21,45,55,40,60,38,52,8,48,49,2,33,67,44,41,15,63,37,54,46,45,55,47,53
50 to 64 years,54,46,48,52,50,48,2,47,45,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
