日期,客户编码,客户名称,产品编码,产品名称,送量,退量,销量,金额
2014/9/1,1010378,联家超市---古北店,5,曼可顿牛奶三文治面包-蜂蜜口味(350g),20,0,20,126
2014/9/1,1010378,联家超市---古北店,6,曼可顿牛奶三文治面包-芝士口味(350g),10,0,10,63
2014/9/1,1010378,联家超市---古北店,325,曼可顿芝麻仔汉堡面包(285g),5,0,5,21.5
2014/9/1,1010378,联家超市---古北店,10155,曼可顿美味方香橙提子面包(125g),5,0,5,16.5
2014/9/1,1010378,联家超市---古北店,10156,曼可顿美味方经典红豆面包(125g),5,0,5,16.5
2014/9/1,1010378,联家超市---古北店,10172,曼可顿特选系列经典白面包(400g),15,0,15,88.5
2014/9/1,1010378,联家超市---古北店,10203,曼可顿特选系列粗粮吐司面包(400g),15,0,15,94.5
2014/9/1,1010378,联家超市---古北店,10231,曼可顿黄金蛋糕-原味(170g),6,0,6,39.6
2014/9/1,1010378,联家超市---古北店,10256,曼可顿黄金蛋糕-巧克力口味(170g),6,0,6,40.8
2014/9/1,1010378,联家超市---古北店,10263,曼可顿超醇面包(400g),40,0,40,298.4
2014/9/1,1010378,联家超市---古北店,10400,曼可顿强化营养面包（甜味）(310g),40,0,40,184
2014/9/1,1010378,联家超市---古北店,10402,曼可顿强化营养面包（全麦）(310g),40,0,40,188
2014/9/1,1010386,乐购---卢湾店,5,曼可顿牛奶三文治面包-蜂蜜口味(350g),10,0,10,63
2014/9/1,1010386,乐购---卢湾店,6,曼可顿牛奶三文治面包-芝士口味(350g),10,0,10,63
2014/9/1,1010386,乐购---卢湾店,325,曼可顿芝麻仔汉堡面包(285g),5,0,5,21.5
2014/9/1,1010386,乐购---卢湾店,10155,曼可顿美味方香橙提子面包(125g),5,0,5,17.5
2014/9/1,1010386,乐购---卢湾店,10156,曼可顿美味方经典红豆面包(125g),5,0,5,17.5
2014/9/1,1010386,乐购---卢湾店,10164,曼可顿美味方纯软心巧克力面包(125g),5,0,5,17.5
2014/9/1,1010386,乐购---卢湾店,10203,曼可顿特选系列粗粮吐司面包(400g),30,0,30,189
2014/9/1,1010386,乐购---卢湾店,10207,曼可顿椰蓉面包(136g),5,0,5,18
2014/9/1,1010386,乐购---卢湾店,10216,曼可顿红豆面包(136g),5,0,5,18
2014/9/1,1010386,乐购---卢湾店,10226,曼可顿皇冠面包-奶皇味(200g),5,0,5,40
2014/9/1,1010386,乐购---卢湾店,10257,曼可顿皇冠面包-花生酱味(200g),5,0,5,40
2014/9/1,1010386,乐购---卢湾店,10263,曼可顿超醇面包(400g),70,0,70,557.2
2014/9/1,1010386,乐购---卢湾店,10326,曼可顿奶黄软餐包（210g）,6,0,6,32.16
2014/9/1,1010386,乐购---卢湾店,10333,曼可顿手撕包（65g）,210,0,210,499.8
2014/9/1,1010386,乐购---卢湾店,10341,曼可顿超醇面包-全麦(200g),9,0,9,44.37
2014/9/1,1010386,乐购---卢湾店,10351,曼可顿手撕包-原味(120g),10,0,10,42
