日期,客户编码,客户名称,产品编码,产品名称,送量,退量,销量,金额
2014/9/1,1018974,上海交通大学,5,曼可顿牛奶三文治面包-蜂蜜口味(350g),4,0,4,22.4
2014/9/1,1018974,上海交通大学,6,曼可顿牛奶三文治面包-芝士口味(350g),5,0,5,28
2014/9/1,1018974,上海交通大学,10191,曼可顿红豆面包(68g),20,0,20,30.4
2014/9/1,1018974,上海交通大学,10192,曼可顿椰蓉面包(68g),20,0,20,30.4
2014/9/1,1018974,上海交通大学,10203,曼可顿特选系列粗粮吐司面包(400g),14,0,14,78.4
2014/9/1,1018974,上海交通大学,10261,曼可顿超醇面包(100g),15,0,15,37.5
2014/9/1,1018974,上海交通大学,10263,曼可顿超醇面包(400g),12,0,12,89.52
2014/9/1,1018974,上海交通大学,10333,曼可顿手撕包（65g）,55,0,55,115.5
2014/9/1,1018974,上海交通大学,10340,曼可顿黄金蛋糕-原味(80g),30,0,30,98.4
2014/9/1,1018974,上海交通大学,10341,曼可顿超醇面包-全麦(200g),11,0,11,54.23
2014/9/1,1018974,上海交通大学,10351,曼可顿手撕包-原味(120g),10,0,10,43.4
2014/9/1,1018974,上海交通大学,10400,曼可顿强化营养面包（甜味）(310g),18,0,18,88.2
2014/9/1,1018974,上海交通大学,10401,曼可顿强化营养面包（咸味）(310g),14,0,14,68.6
2014/9/1,1018974,上海交通大学,10402,曼可顿强化营养面包（全麦）(310g),10,0,10,50
2014/9/3,1018974,上海交通大学,5,曼可顿牛奶三文治面包-蜂蜜口味(350g),4,0,4,22.4
2014/9/3,1018974,上海交通大学,6,曼可顿牛奶三文治面包-芝士口味(350g),7,0,7,39.2
2014/9/3,1018974,上海交通大学,10203,曼可顿特选系列粗粮吐司面包(400g),7,0,7,39.2
2014/9/3,1018974,上海交通大学,10226,曼可顿皇冠面包-奶皇味(200g),1,0,1,7.1
2014/9/3,1018974,上海交通大学,10231,曼可顿黄金蛋糕-原味(170g),1,0,1,7
2014/9/3,1018974,上海交通大学,10256,曼可顿黄金蛋糕-巧克力口味(170g),1,0,1,7.2
2014/9/3,1018974,上海交通大学,10257,曼可顿皇冠面包-花生酱味(200g),1,0,1,7.1
2014/9/3,1018974,上海交通大学,10326,曼可顿奶黄软餐包（210g）,3,0,3,15
2014/9/3,1018974,上海交通大学,10333,曼可顿手撕包（65g）,9,0,9,18.9
2014/9/3,1018974,上海交通大学,10350,曼可顿黄金堡法式软丝面包(100g),16,0,16,46.4
2014/9/3,1018974,上海交通大学,10351,曼可顿手撕包-原味(120g),20,0,20,86.8
2014/9/3,1018974,上海交通大学,10400,曼可顿强化营养面包（甜味）(310g),10,0,10,49
2014/9/3,1018974,上海交通大学,10401,曼可顿强化营养面包（咸味）(310g),5,0,5,24.5
2014/9/3,1018974,上海交通大学,10402,曼可顿强化营养面包（全麦）(310g),6,0,6,30
2014/9/5,1018974,上海交通大学,5,曼可顿牛奶三文治面包-蜂蜜口味(350g),1,0,1,5.6
2014/9/5,1018974,上海交通大学,10130,便捷系列香浓吐司面包,10,0,10,18
2014/9/5,1018974,上海交通大学,10155,曼可顿美味方香橙提子面包(125g),18,0,18,55.8
2014/9/5,1018974,上海交通大学,10156,曼可顿美味方经典红豆面包(125g),7,0,7,21.7
2014/9/5,1018974,上海交通大学,10164,曼可顿美味方纯软心巧克力面包(125g),12,0,12,37.2
